id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
1391,Ardkilmartin,Ard Chill Mhártain,Limerick,Republic of Ireland,V35,R617289,161759,128964,52.41130,-8.56269,Kilmallock,Limerick City And County Council,Munster,Mid-West,Townland
1392,Ardkirk,Ard Circe,Monaghan,Republic of Ireland,H18,H641483,264164,348387,54.38009,-7.01327,Monaghan,Monaghan County Council,Ulster,Border,Townland
1393,Ardkirk,Ard Circe,Monaghan,Republic of Ireland,A75,H870138,287087,313847,54.06648,-6.67059,Castleblayney,Monaghan County Council,Ulster,Border,Townland
1394,Ardkitt East,Ard Cit Thoir,Cork,Republic of Ireland,P47,W370528,137072,52866,51.72521,-8.91142,Cork - Dunmanway,Cork County Council,Munster,South-West,Townland
1395,Ardkitt West,Ard Cit Thiar,Cork,Republic of Ireland,P47,W361530,136154,53055,51.72681,-8.92472,Cork - Dunmanway,Cork County Council,Munster,South-West,Townland
1396,Ardkyle,Ardchoill,Clare,Republic of Ireland,V95,R442647,144272,164788,52.73168,-8.82566,Ennis,Clare County Council,Munster,Mid-West,Townland
1397,Ardkyle,Ardchoill,Galway,Republic of Ireland,H91,L645595,64596,259512,53.56821,-10.04455,Galway,Galway County Council,Connacht,West,Townland
1398,Ardla,Ard Ló,Dublin,Republic of Ireland,K34,O234599,323477,259973,53.57530,-6.13667,Skerries,Fingal County Council,Leinster,Dublin,Townland
1399,Ardlaghas,,Kerry,Republic of Ireland,V93,V816933,81609,93302,52.07950,-9.72764,Killarney,Kerry County Council,Munster,South-West,Townland
1400,Ardlagheen Beg,,Roscommon,Republic of Ireland,F42,M793720,179381,272047,53.69789,-8.31290,Roscommon,Roscommon County Council,Connacht,West,Townland
1401,Ardlagheen More,,Roscommon,Republic of Ireland,F42,M796732,179690,273205,53.70831,-8.30831,Roscommon,Roscommon County Council,Connacht,West,Townland
1402,Ardlahan,Ard Lacháin,Limerick,Republic of Ireland,V94,R448546,144872,154689,52.64100,-8.81510,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
1403,Ardlaman,Ard Lomáin,Limerick,Republic of Ireland,V94,R323443,132387,144399,52.54714,-8.99740,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
1404,Ardlaman,Ardlomán,Tipperary,Republic of Ireland,E34,R831387,183116,138789,52.50067,-8.24935,Tipperary,Tipperary County Council,Munster,South-East,Townland
1405,Ardlaraghan,Ard Rathain,Louth,Republic of Ireland,A92,O000864,300015,286467,53.81824,-6.48216,Drogheda,Louth County Council,Leinster,Border,Townland
1406,Ardlavagh,,Roscommon,Republic of Ireland,N41,M892975,189263,297549,53.92730,-8.16418,Carrick-On-Shannon,Roscommon County Council,Connacht,West,Townland
1407,Ardlea,,Laois,Republic of Ireland,R32,S414923,241414,192307,52.98024,-7.38417,Portlaoise,Laois County Council,Leinster,Midland,Townland
1408,Ardleag,Ard Liag,Cork,Republic of Ireland,P51,R683061,168318,106158,52.20678,-8.46416,Mallow,Cork County Council,Munster,South-West,Townland
